id,sentence,subject_entity,object_entity,label,source
18,"문성민은 경기대에 입학해 황동일, 신영석과 함께 하계 올림픽, 전국체전, 최강전 등 3관왕을 차지하며 경기대 전성기를 이끌었다.","{'word': '문성민', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '경기대', 'start_idx': 5, 'end_idx': 7, 'type': 'ORG'}",per:schools_attended,wikipedia
68,그는 경성대 재학 시절 오른손 투수 김기표와 입학 당시 학생으로 각각 좌원삼과 유기표로 불렸다.,"{'word': '김기표', 'start_idx': 18, 'end_idx': 20, 'type': 'PER'}","{'word': '경성대', 'start_idx': 0, 'end_idx': 2, 'type': 'ORG'}",per:schools_attended,wikipedia
80,"2008년 2월 29일 방송위원회가 개편되어 출범하였으며, 경기도 과천시 관문로 47 정부과천청사에 위치하고 있다.","{'word': '방송위원회', 'start_idx': 13, 'end_idx': 17, 'type': 'ORG'}","{'word': '2008년 2월 29일', 'start_idx': 0, 'end_idx': 11, 'type': 'DAT'}",org:founded,wikipedia
135,한편 러시아의 경우 올 3월부터 러시아 조치로 인천-모스크바 간 정기편이 운항이 중단돼 러시아 입국을 원하는 국내 기업인과 학생들의 수요가 몰리고 있다.,"{'word': '러시아', 'start_idx': 14, 'end_idx': 16, 'type': 'ORG'}","{'word': '모스크바', 'start_idx': 38, 'end_idx': 41, 'type': 'LOC'}",org:members,policy_briefing
149,"1987년 1월 2일 광신고등학교가 36학급 설립인가를 받았으며, 1987년 3월 3일 관악구 삼성동 328번지에 12학급 706명으로 개교하였다.","{'word': '광신고등학교', 'start_idx': 12, 'end_idx': 17, 'type': 'ORG'}","{'word': '1987년', 'start_idx': 33, 'end_idx': 37, 'type': 'DAT'}",org:founded,wikipedia
257,"그는 회사의 보수적 지도를 보면 올해 매출 1조 원이 가장 낮다며 상향조시가 예상된다고 말했다. 삼성전자의 D램 확대, 낸드 확대, LSI 확대가 원익IPS의 실적 성장을 견인할 것이라고 전망했다.","{'word': '삼성전자', 'start_idx': 65, 'end_idx': 68, 'type': 'ORG'}","{'word': 'LSI', 'start_idx': 85, 'end_idx': 87, 'type': 'ORG'}",org:product,wikitree
266,"2008년 3월 1일 제주교육대학교와 통합, 제주대학교 사범대학으로 개편되어 제주대학교 사라캠퍼스로 운영되고 있다.","{'word': '제주교육대학교', 'start_idx': 12, 'end_idx': 18, 'type': 'ORG'}","{'word': '2008년 3월 1일', 'start_idx': 0, 'end_idx': 10, 'type': 'DAT'}",org:dissolved,wikipedia
278,"원래는 하후, 하후돈, 하후연의 삼촌이었지만, 대관조인 십상시 조등(趙 son)의 양자가 되었다.","{'word': '하후돈', 'start_idx': 13, 'end_idx': 15, 'type': 'PER'}","{'word': '하후연', 'start_idx': 23, 'end_idx': 25, 'type': 'PER'}",per:siblings,wikipedia
326,"""현대모비스도 약점으로 지적되어 온 현대차그룹에 대한 의존도를 점차 줄이고 있다""고 그는 말했다. 지난해 기타 신차(OE) 부품 주문액은 약 17억 달러에 달했고 올해는 21억 달러까지 늘어날 것으로 예상된다.","{'word': '현대차 그룹', 'start_idx': 27, 'end_idx': 32, 'type': 'ORG'}","{'word': '현대모비스', 'start_idx': 4, 'end_idx': 8, 'type': 'ORG'}",org:members,wikitree
327,"1974년 8월 15일, 프랑스 유학 중, 그는 재일교포 문세광의 총격으로 어머니 육영수가 사망했다는 소식을 듣고 갑자기 집으로 돌아왔다.","{'word': '육영수', 'start_idx': 40, 'end_idx': 42, 'type': 'PER'}","{'word': '1974년 8월 15일', 'start_idx': 11, 'end_idx': 22, 'type': 'DAT'}",per:date_of_death,wikipedia
341,이후 동아일보는 8월 29일부터 무기정간됐으며 1920년 4월 창간 이후 4번째다.,"{'word': '동아일보', 'start_idx': 3, 'end_idx': 6, 'type': 'ORG'}","{'word': '1920년', 'start_idx': 41, 'end_idx': 45, 'type': 'DAT'}",org:founded,wikipedia
364,1999년 토론토에 본사를 둔 심폐소생술 캐나다 퍼시픽 호텔.,"{'word': '캐나다', 'start_idx': 24, 'end_idx': 26, 'type': 'ORG'}","{'word': '토론토', 'start_idx': 8, 'end_idx': 10, 'type': 'LOC'}",org:members,wikipedia
468,총독부가 인준증서를 내라고 강요하자 아들 이제각과 이봉의 아들 이기원은 규장각과 직각을 이루고 있었다) 한규설에게 어떻게 해야 할지 물었다.,"{'word': '이봉의', 'start_idx': 50, 'end_idx': 52, 'type': 'PER'}","{'word': '이기원', 'start_idx': 58, 'end_idx': 60, 'type': 'PER'}",per:children,wikipedia
469,두 모바일 AP는 모두 삼성전자 시스템LSI사업부의 14nm 핀펫 LPP 공정으로 생산됐으며 특히 삼성전자 시스템LSI사업부가 개발한 CPU 아키텍처를 적용한 최초의 스마트폰 중 하나다.,"{'word': '삼성전자', 'start_idx': 62, 'end_idx': 65, 'type': 'ORG'}","{'word': 'LSI', 'start_idx': 71, 'end_idx': 73, 'type': 'ORG'}",org:product,wikipedia
515,마인츠는 1963년에 새로운 프로 리그인 분데스리가가 출범하기 전까지 남서 아우베르기에 속해 있었다.,"{'word': '분데스리가', 'start_idx': 13, 'end_idx': 17, 'type': 'ORG'}","{'word': '1963년', 'start_idx': 20, 'end_idx': 24, 'type': 'DAT'}",org:founded,wikipedia
521,"2011년 1월 23일, 에르비 엠마뉴엘슨은 이탈리아 세리에 A의 AC 밀란과 1700만 파운드의 이적료에 3년 반 계약을 맺었다.","{'word': '세리에 A', 'start_idx': 28, 'end_idx': 32, 'type': 'ORG'}","{'word': 'AC 밀란', 'start_idx': 35, 'end_idx': 39, 'type': 'ORG'}",org:members,wikipedia
559,"미국 에너지부는 1977년 8월 4일 석유 파동 이후 설립되었고, 미국은 외국의 석유로부터 독립을 지키기 위해 설립되었다.","{'word': '미국 에너지부', 'start_idx': 0, 'end_idx': 6, 'type': 'ORG'}","{'word': '1977년 8월 4일', 'start_idx': 9, 'end_idx': 19, 'type': 'DAT'}",org:founded,wikipedia
616,함연지는 오뚜기 창업주인 함태호 명예회장의 손녀로 뮤지컬 배우로 활동하고 있다.,"{'word': '오뚜기', 'start_idx': 7, 'end_idx': 9, 'type': 'ORG'}","{'word': '함태호', 'start_idx': 16, 'end_idx': 18, 'type': 'PER'}",org:founded_by,wikitree
620,"그는 16일 한국철도공사를 방문해 손병석 대표에게 전라선 KTX 증설, 전력분배전기차(EMU) 정비기지 유치 등 철도 관련 현안 사업에 협조를 요청했다.","{'word': '한국철도공사', 'start_idx': 9, 'end_idx': 14, 'type': 'ORG'}","{'word': '전라선', 'start_idx': 30, 'end_idx': 32, 'type': 'POH'}",org:product,wikitree
633,"1979년 10월 26일 그의 아버지 박정희 대통령이 암살되기 전에, 박근혜는 청와대에서 살았고, 그의 아버지의 암살 후, 그는 정수 장학회와 육영 재단을 운영하기 위해 청와대를 떠났다.","{'word': '박정희', 'start_idx': 17, 'end_idx': 19, 'type': 'PER'}","{'word': '1979년 10월 26일', 'start_idx': 0, 'end_idx': 12, 'type': 'DAT'}",per:date_of_death,wikipedia
674,2004년 하이트컵오픈에서 우승해 2005년 5월 이수건설이 설립한 브라운스톤 골프팀에 입단하면서 프로골퍼로 변신했다.,"{'word': '이수건설', 'start_idx': 38, 'end_idx': 41, 'type': 'ORG'}","{'word': '브라운스톤', 'start_idx': 48, 'end_idx': 52, 'type': 'ORG'}",org:members,wikipedia
679,이 마이크로센터는 1979년 오하이오주 콜럼버스에 라디오식스의 전직 직원인 존 베이커와 빌 베인이 각각 3만5000달러를 투자해 설립했다.,"{'word': '마이크로 센터', 'start_idx': 0, 'end_idx': 6, 'type': 'ORG'}","{'word': '빌 베인', 'start_idx': 55, 'end_idx': 58, 'type': 'PER'}",org:founded_by,wikipedia
683,"선덕여왕이 죽은 후 사촌인 진덕여왕에게 왕위가 돌아간다는 점을 고려하면, 그녀가 선덕여왕 이전에 사망한 것으로 추정된다.","{'word': '진덕여왕', 'start_idx': 21, 'end_idx': 24, 'type': 'PER'}","{'word': '선덕여왕', 'start_idx': 0, 'end_idx': 3, 'type': 'PER'}",per:other_family,wikipedia
765,특히 한국GM이 새한자동차와 대우자동차 시절 출시한 대우로얄 시리즈 중 로열살롱은 홀덴코모도어를 기반으로 새한자동차 시절부터 중형차용 직렬 4기통 1.82.0L 엔진을 대거 공급했다.,"{'word': '한국GM', 'start_idx': 3, 'end_idx': 6, 'type': 'ORG'}","{'word': '자동차', 'start_idx': 73, 'end_idx': 75, 'type': 'ORG'}",org:product,wikipedia
768,"매각 대상 142명의 회원권은 전두환 회장의 차남 전재용 씨, 전재용 씨 부인 박상아 씨, 전두환 회장의 처남 이창석 씨, 이창석 씨 부인 등 4명의 임원이 있는 새더블 UDC 주식회사다.","{'word': '전두환', 'start_idx': 75, 'end_idx': 77, 'type': 'PER'}","{'word': '전재용', 'start_idx': 62, 'end_idx': 64, 'type': 'PER'}",per:children,wikipedia
789,삼성전자는 자사 오디오 브랜드 AKG의 헤드폰 N700이 대한항공 퍼스트클래스 전용 공식 헤드폰으로 선정됐다고 18일 밝혔다.,"{'word': '삼성전자', 'start_idx': 0, 'end_idx': 3, 'type': 'ORG'}","{'word': 'AKG', 'start_idx': 17, 'end_idx': 19, 'type': 'ORG'}",org:members,wikitree
947,람보르기니 V12는 자동차 제조업체 람보르기니가 만든 V12 엔진이다.,"{'word': '람보르기니', 'start_idx': 21, 'end_idx': 25, 'type': 'ORG'}","{'word': '자동차', 'start_idx': 11, 'end_idx': 13, 'type': 'POH'}",org:product,wikipedia
952,"이외에도 구매 후 사진 상품 리뷰를 올리면 한화 이글스 유니폼(5명), 한화 이글스 티켓(10명), 수리 마스코트 플라이플롭(20명) 등 다양한 한화 이글스 굿즈가 증정된다.","{'word': '한화 이글스', 'start_idx': 25, 'end_idx': 30, 'type': 'ORG'}","{'word': '유니폼', 'start_idx': 32, 'end_idx': 34, 'type': 'POH'}",org:product,wikitree
